No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
267,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan
268,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Utama
269,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
270,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus
271,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Pemantauan Khusus
272,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Utama
273,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Pengembangan
274,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
275,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
276,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Pengembangan
277,ANTM,ANTAM (Persero) Tbk.,27 Nov 1997,24.030.764.725,Utama
278,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,3.546.466.661,Pengembangan
279,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
280,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
281,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan
282,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
283,ARGO,Argo Pantes Tbk,07 Jan 1991,3.174.339.029,Pengembangan
284,ARII,Atlas Resources Tbk.,08 Nov 2011,3.750.000.000,Pengembangan
285,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
286,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan
287,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Pemantauan Khusus
288,ARTO,Bank Jago Tbk.,12 Jan 2016,13.722.768.400,Utama
289,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
290,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan
291,ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,Utama
292,ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,Utama
293,ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1.400.000.000,Pengembangan
